id,source,source_decoded,destination,destination_decoded,status_code,rank_math_status
14,ایمپلنت-دیجیتال-تحولی-نوین-در-دندان/,/ایمپلنت-دیجیتال-تحولی-نوین-در-دندان,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84/,/ایمپلنت-دیجیتال,301,active
15,ایمپلنت-دندان-راهکاری-برای-بازگرداند/,/ایمپلنت-دندان-راهکاری-برای-بازگرداند,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/,/ایمپلنت-دندان,301,active
16,جراحی-فک-دیجیتال-انقلابی-در-دقت-و-نتایج/,/جراحی-فک-دیجیتال-انقلابی-در-دقت-و-نتایج,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84/,/جراحی-فک-دیجیتال,301,active
17,آیا-جراحی-فک-خطرناک-است؟/,/آیا-جراحی-فک-خطرناک-است؟,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d8%ae%d8%b7%d8%b1%d9%86%d8%a7%da%a9/,/جراحی-فک-خطرناک,301,active
18,فک-پایین-عقبرفته-چیست؟-دلایل،-علائم/,/فک-پایین-عقبرفته-چیست؟-دلایل،-علائم,https://dralirezasadighi.com/%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8%d8%b1%d9%81%d8%aa%d9%87/,/فک-پایین-عقبرفته,301,active
19,راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر/,/راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%ac%d9%84%d9%88-%d8%a2%d9%85%d8%af%d9%87/,/جراحی-فک-پایین-جلو-آمده,301,active
20,روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ/,/روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/,/جراحی-جلوآمدگی-فک-پایین-2,301,active
20,جراحی-جلوآمدگی-فک-پایین/,/جراحی-جلوآمدگی-فک-پایین,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/,/جراحی-جلوآمدگی-فک-پایین-2,301,active
20,روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ/,/روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/,/جراحی-جلوآمدگی-فک-پایین-2,301,active
21,فیزیوتراپی-بعد-از-جراحی-فک-چرا-ضروری-اس/,/فیزیوتراپی-بعد-از-جراحی-فک-چرا-ضروری-اس,https://dralirezasadighi.com/%d9%81%db%8c%d8%b2%db%8c%d9%88%d8%aa%d8%b1%d8%a7%d9%be%db%8c-%d8%a8%d8%b9%d8%af-%d8%a7%d8%b2-%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9/,/فیزیوتراپی-بعد-از-جراحی-فک,301,active
22,ایمپلنت-دندان-چیست-و-چگونه-عمل-میکند/,/ایمپلنت-دندان-چیست-و-چگونه-عمل-میکند,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%da%86%db%8c%d8%b3%d8%aa/,/ایمپلنت-دندان-چیست,301,active
23,عوارض-ایمپلنت-دندان-واقعیت-یا-نگرانی-ب/,/عوارض-ایمپلنت-دندان-واقعیت-یا-نگرانی-ب,https://dralirezasadighi.com/%d8%b9%d9%88%d8%a7%d8%b1%d8%b6-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/,/عوارض-ایمپلنت-دندان,301,active
24,ایمپلنت-دندان-در-تبریز؛-پرسشهای-پرتک/,/ایمپلنت-دندان-در-تبریز؛-پرسشهای-پرتک,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2-%d9%be%d8%b1%d8%b3%d8%b4-%d9%be%d8%a7%d8%b3%d8%ae/,/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ,301,active
25,ایمپلنت-در-تهران-از-نگاه-بیماران؛-مقای/,/ایمپلنت-در-تهران-از-نگاه-بیماران؛-مقای,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/,/ایمپلنت-در-تهران,301,active
26,ایمپلنت-اقساطی-در-تهران-برای-همه؛-از-دغ/,/ایمپلنت-اقساطی-در-تهران-برای-همه؛-از-دغ,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%a7%d9%82%d8%b3%d8%a7%d8%b7%db%8c-%d8%af%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/,/ایمپلنت-اقساطی-در-تهران,301,active
27,طول-عمر-ایمپلنت-دندان-چقدر-است؟-بررسی-ج/,/طول-عمر-ایمپلنت-دندان-چقدر-است؟-بررسی-ج,https://dralirezasadighi.com/%d8%b7%d9%88%d9%84-%d8%b9%d9%85%d8%b1-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/,/طول-عمر-ایمپلنت-دندان,301,active
28,راهنمای-جامع-ایمپلنت-دندان-در-تبریز-مع/,/راهنمای-جامع-ایمپلنت-دندان-در-تبریز-مع,https://dralirezasadighi.com/%d8%b1%d8%a7%d9%87%d9%86%d9%85%d8%a7%db%8c-%d8%ac%d8%a7%d9%85%d8%b9-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2-2/,/راهنمای-جامع-ایمپلنت-دندان-در-تبریز-2,301,active
29,جراحی-چانه،-پروتز-چانه،-فیلر-و-جینیوپل/,/جراحی-چانه،-پروتز-چانه،-فیلر-و-جینیوپل,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%da%86%d8%a7%d9%86%d9%87-%d9%be%d8%b1%d9%88%d8%aa%d8%b2-%d9%81%db%8c%d9%84%d8%b1-%d8%ac%db%8c%d9%86%db%8c%d9%88%d9%be%d9%84%d8%a7%d8%b3%d8%aa%db%8c/,/جراحی-چانه-پروتز-فیلر-جینیوپلاستی,301,active
30,لیفت-شقیقه-گلایدینگ؛-جوانسازی-طبیعی-ب/,/لیفت-شقیقه-گلایدینگ؛-جوانسازی-طبیعی-ب,https://dralirezasadighi.com/%d9%84%db%8c%d9%81%d8%aa-%d8%b4%d9%82%db%8c%d9%82%d9%87-%da%af%d9%84%d8%a7%db%8c%d8%af%db%8c%d9%86%da%af/,/لیفت-شقیقه-گلایدینگ,301,active
31,سینوس-لیفت-تخصصی-و-کاشت-ایمپلنت-دندان-ب/,/سینوس-لیفت-تخصصی-و-کاشت-ایمپلنت-دندان-ب,https://dralirezasadighi.com/%d8%b3%db%8c%d9%86%d9%88%d8%b3-%d9%84%db%8c%d9%81%d8%aa-%d9%88-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/,/سینوس-لیفت-و-ایمپلنت-دندان,301,active
32,چرا-دندان-عقل-درد-میکند؟-دلایل-و-راه/,/چرا-دندان-عقل-درد-میکند؟-دلایل-و-راه,https://dralirezasadighi.com/%d8%af%d8%b1%d8%af-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%b9%d9%82%d9%84/,/درد-دندان-عقل,301,active
33,جراحی-زیبایی-بینی-راهنمای-کامل-عمل-بین/,/جراحی-زیبایی-بینی-راهنمای-کامل-عمل-بین,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%b2%db%8c%d8%a8%d8%a7%db%8c%db%8c-%d8%a8%db%8c%d9%86%db%8c/,/جراحی-زیبایی-بینی,301,active
34,جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز/,/جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%a8%d8%a7%d8%b2%d8%b3%d8%a7%d8%b2%db%8c-%d9%86%d9%88%d8%a7%d9%82%d8%b5-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7%d8%b2%da%af%d8%b1%d8%af%d8%a7%d9%86%d8%af%d9%86/,/جراحی-بازسازی-نواقص-صورت-بازگرداندن,301,active
34,جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز/,/جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%a8%d8%a7%d8%b2%d8%b3%d8%a7%d8%b2%db%8c-%d9%86%d9%88%d8%a7%d9%82%d8%b5-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7%d8%b2%da%af%d8%b1%d8%af%d8%a7%d9%86%d8%af%d9%86/,/جراحی-بازسازی-نواقص-صورت-بازگرداندن,301,active
35,عمل-بینی-اروپایی-چیست-و-برای-چه-چهرهه/,/عمل-بینی-اروپایی-چیست-و-برای-چه-چهرهه,https://dralirezasadighi.com/european-nose-job/,/european-nose-job,301,active
35,european-nose-job-what-is-it-and-who-is-it-for/,/european-nose-job-what-is-it-and-who-is-it-for,https://dralirezasadighi.com/european-nose-job/,/european-nose-job,301,active
37,tag/جراحی-ایمپلنت-تبریز/,/tag/جراحی-ایمپلنت-تبریز,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%a7%d8%b4%d8%aa%d8%b1%d9%88%d9%85%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2%d8%9b-%d8%a8%d9%87%d8%aa%d8%b1%db%8c%d9%86-%d8%b1%d8%a7%d9%87/,/ایمپلنت-اشترومن-در-تبریز؛-بهترین-راه,301,active
